#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-05-28T14:15:53 [V7.5.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-05-28T14:15:53	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=I/239/hip_main&-out=HIP,B-V&-out.max=15000&Vmag=&lt;6.5&-out.form=tsv	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.5.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_1239
#Name: I/239
#Title: The Hipparcos and Tycho Catalogues (ESA 1997)
#INFO	ivoid=ivo://cds.vizier/i/239	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/i/239	    IVOID of underlying data collection
#INFO	creator=ESA 1997	    First author or institution
#INFO	cites=1997HIP...C......0E	    Article or Data origin sources
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/I/239	    Dataset landing page
#INFO	publication_date=2021-11-18	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Coosys	H_1991.250:	ICRS
#Table	I_239_hip_main:
#Name: I/239/hip_main
#Title: The Hipparcos Main Catalogue
#Column	HIP	(I6)	Identifier (HIP number) (H1)	[ucd=meta.id;meta.main]
#Column	B-V	(F6.3)	? Johnson B-V colour (H37)	[ucd=phot.color;em.opt.B;em.opt.V]
HIP	B-V
 	mag
------	------
    25	 0.763
    34	 0.514
    43	 1.032
    50	 0.616
    63	-0.047
    88	 0.911
   106	 0.970
   107	 1.615
   122	 1.254
   124	 0.407
   137	-0.042
   145	-0.128
   154	 1.631
   171	 0.690
   183	-0.150
   186	 0.182
   194	 0.315
   207	 1.073
   238	 0.526
   253	 1.176
   274	 0.332
   301	-0.047
   302	 1.629
   330	 0.274
   343	 1.084
   345	 0.006
   355	 1.619
   365	 0.159
   377	-0.100
   379	 1.051
   394	 0.632
   399	 1.368
   410	 0.946
   417	 1.099
   418	-0.067
   443	 1.029
   476	 0.901
   518	 0.687
   522	 0.519
   531	-0.023
   544	 0.752
   560	 0.386
   602	 0.133
   635	-0.146
   636	 0.141
   655	 1.119
   664	 1.366
   671	 1.034
   677	-0.038
   695	 0.998
   696	 1.664
   699	 0.504
   716	 0.976
   728	 0.242
   729	 1.043
   730	 0.738
   746	 0.380
   760	 0.203
   761	 0.414
   765	 1.013
   798	 0.164
   813	-0.064
   814	 1.049
   840	 0.973
   841	 0.405
   873	 1.000
   910	 0.487
   930	 1.346
   950	 0.459
   967	 1.467
   983	 1.478
  1067	-0.190
  1074	 1.710
  1076	 0.680
  1086	 0.331
  1096	 1.548
  1099	 1.490
  1123	 0.009
  1158	 1.601
  1168	 1.572
  1170	 1.640
  1191	-0.084
  1193	-0.004
  1195	 1.344
  1196	 0.312
  1208	 1.555
  1215	-0.002
  1269	 0.838
  1268	 0.983
  1288	 1.350
  1296	-0.044
  1302	 0.068
  1319	 0.919
  1354	 0.898
  1366	 0.059
  1372	-0.079
  1402	 0.386
  1415	-0.151
  1421	 0.937
  1465	 1.036
  1473	 0.054
  1493	-0.014
  1499	 0.674
  1501	-0.074
  1502	 1.210
  1562	 1.214
  1575	 1.179
  1599	 0.576
  1630	-0.098
  1639	 0.564
  1645	 1.343
  1647	-0.046
  1657	 1.595
  1686	 0.442
  1706	 1.397
  1708	 1.006
  1728	 1.580
  1772	 1.225
  1803	 0.659
  1821	 1.595
  1921	-0.110
  1939	 1.216
  1948	 1.161
  1960	 0.008
  1982	-0.056
  2006	 0.855
  2021	 0.618
  2072	 0.175
  2081	 1.083
  2086	 1.622
  2100	 0.893
  2159	 1.022
  2178	 0.230
  2210	 1.634
  2213	 0.990
  2219	 1.584
  2224	 1.580
  2225	 0.043
  2235	 0.447
  2237	 0.594
  2240	 1.556
  2256	 1.090
  2270	 0.916
  2337	 0.388
  2353	 1.545
  2355	 0.271
  2377	-0.003
  2381	 0.128
  2383	 0.367
  2388	 0.315
  2422	 0.883
  2472	 0.018
  2474	-0.100
  2475	 1.133
  2484	-0.064
  2487	 0.147
  2497	 1.163
  2505	-0.098
  2548	-0.014
  2568	 1.069
  2578	 0.038
  2583	 0.965
  2599	 0.130
  2611	 1.037
  2628	-0.007
  2629	 0.265
  2661	 1.262
  2663	 0.617
  2707	-0.049
  2711	 0.472
  2734	 1.136
  2762	 0.567
  2787	 0.444
  2789	 1.001
  2802	 0.461
  2832	 0.517
  2846	 1.063
  2852	 0.297
  2854	-0.098
  2876	 0.294
  2889	 1.260
  2900	 1.587
  2903	-0.146
  2912	-0.123
  2920	-0.196
  2926	 1.170
  2937	 0.995
  2941	 0.715
  2942	 0.886
  2954	 1.339
  3031	 0.871
  3056	 1.482
  3083	 1.644
  3092	 1.268
  3093	 0.850
  3132	 0.551
  3137	 1.142
  3138	 1.160
  3170	 0.564
  3175	 0.910
  3179	 1.170
  3185	 0.718
  3193	 1.091
  3231	 0.891
  3245	 0.953
  3269	 0.298
  3277	 0.131
  3299	 1.042
  3300	-0.105
  3330	 0.515
  3334	-0.004
  3352	 1.318
  3356	-0.024
  3405	 0.024
  3414	 0.170
  3419	 1.019
  3436	 1.107
  3455	 0.998
  3456	 1.144
  3478	-0.113
  3489	 0.446
  3504	-0.069
  3505	 0.350
  3521	 0.297
  3527	 0.524
  3544	 0.022
  3552	 1.652
  3559	 0.603
  3572	 0.078
  3576	 0.314
  3583	 0.635
  3604	-0.063
  3607	 0.978
  3632	 1.559
  3641	 0.424
  3649	 1.081
  3675	 0.987
  3685	 0.270
  3693	 1.100
  3697	 0.941
  3717	 1.300
  3721	-0.066
  3741	-0.058
  3750	 1.010
  3760	 1.104
  3765	 0.890
  3781	 1.345
  3786	 1.500
  3801	-0.091
  3807	 0.897
  3810	 0.502
  3821	 0.587
  3834	 0.944
  3849	 1.325
  3858	 0.132
  3881	-0.136
  3885	 0.398
  3903	 0.286
  3909	 0.514
  3919	 0.043
  3949	 0.356
  3951	 0.528
  3965	 0.307
  3988	 1.880
  3992	 1.069
  4023	 0.032
  4104	 1.275
  4147	 1.550
  4151	 0.540
  4164	 0.439
  4185	 1.139
  4200	 1.574
  4212	 0.191
  4257	 0.911
  4267	-0.016
  4283	 0.105
  4288	 1.012
  4292	 1.216
  4293	 1.095
  4298	 1.681
  4317	 1.546
  4346	 1.520
  4363	 1.674
  4366	 0.133
  4371	 1.505
  4382	 0.962
  4383	 1.376
  4422	 0.957
  4427	-0.046
  4436	 0.130
  4440	-0.054
  4446	 0.375
  4463	 0.940
  4475	 0.940
  4501	 1.028
  4510	 1.076
  4520	 0.895
  4552	 1.000
  4558	 0.089
  4563	 0.096
  4572	-0.008
  4577	-0.154
  4587	 0.949
  4655	 1.654
  4675	-0.010
  4709	 0.135
  4770	 1.185
  4786	 1.099
  4801	 1.184
  4829	 0.935
  4844	 0.122
  4852	 0.083
  4879	 1.634
  4889	-0.043
  4890	 0.900
  4903	 0.161
  4906	 0.952
  4911	 0.248
  4914	 1.106
  4932	 0.932
  4962	 0.512
  4979	 0.271
  4998	 1.447
  5021	 0.569
  5034	 0.443
  5042	 1.071
  5074	 1.525
  5081	 0.420
  5121	 1.012
  5131	 0.003
  5132	-0.048
  5141	 0.383
  5165	 0.885
  5164	 0.009
  5170	 1.076
  5175	 1.308
  5204	 0.962
  5240	 1.188
  5251	 1.499
  5259	 0.238
  5268	 0.884
  5296	 0.446
  5300	 0.159
  5310	 0.121
  5315	 0.847
  5317	 0.109
  5319	 0.398
  5336	 0.704
  5346	 0.334
  5348	-0.120
  5361	-0.019
  5364	 1.161
  5372	 1.213
  5412	 0.922
  5434	 0.012
  5447	 1.576
  5454	 0.697
  5477	 0.888
  5483	 1.535
  5485	 1.029
  5493	 0.603
  5494	 1.466
  5510	 1.491
  5518	-0.014
  5542	 0.170
  5544	 0.261
  5550	-0.095
  5566	-0.052
  5571	 1.024
  5575	 0.891
  5586	 1.092
  5589	-0.072
  5594	 1.403
  5626	 0.008
  5650	 1.652
  5661	 0.281
  5679	 0.980
  5688	 0.018
  5737	 0.320
  5742	 1.047
  5743	 0.492
  5772	 1.684
  5778	-0.082
  5799	 0.448
  5824	 1.081
  5833	 0.428
  5862	 0.571
  5896	 0.480
  5926	 2.042
  5928	 1.114
  5936	 1.163
  5947	 0.440
  5951	 0.888
  5992	 0.052
  5993	 1.590
  6025	 1.132
  6061	 0.071
  6087	 1.357
  6093	 1.589
  6140	 0.233
  6193	 0.032
  6226	 0.635
  6242	 0.683
  6261	 0.912
  6272	 1.102
  6283	 1.013
  6312	 0.113
  6315	 1.396
  6378	 0.283
  6411	 1.077
  6427	 0.493
  6432	 1.482
  6486	 0.457
  6492	 1.677
  6502	 1.612
  6512	 0.829
  6514	 0.276
  6522	 0.389
  6537	 1.065
  6539	 0.235
  6564	 0.407
  6589	 0.924
  6592	 1.030
  6595	 1.122
  6605	 0.959
  6631	 1.561
  6669	 0.447
  6670	 1.231
  6685	-0.011
  6686	 0.160
  6692	 1.047
  6702	 0.500
  6706	 0.395
  6711	 0.520
  6714	 0.947
  6717	 1.241
  6732	 1.106
  6748	 0.321
  6776	 0.453
  6789	 1.122
  6794	 0.311
  6813	 0.421
  6822	 1.320
  6867	 1.542
  6868	 1.114
  6952	 1.658
  6960	 0.028
  6971	 1.141
  6981	 0.162
  6999	 0.999
  7007	 1.372
  7016	 1.327
  7050	 0.070
  7078	 0.489
  7083	 0.972
  7097	 0.974
  7115	 0.066
  7118	 1.073
  7147	-0.103
  7189	 0.462
  7213	 1.021
  7243	 0.800
  7251	 1.435
  7271	 0.970
  7276	 0.639
  7283	 0.107
  7294	 0.991
  7321	-0.067
  7345	 0.066
  7359	 1.536
  7361	 1.109
  7362	 1.341
  7363	 1.306
  7387	 0.382
  7436	-0.036
  7443	 0.415
  7444	 1.122
  7447	 0.259
  7450	 1.226
  7463	 0.335
  7493	 1.237
  7505	 1.605
  7506	 1.607
  7513	 0.536
  7535	 0.347
  7568	 0.939
  7580	 0.528
  7588	-0.158
  7593	 0.776
  7597	 1.568
  7601	 0.620
  7607	 1.275
  7617	 1.388
  7643	 1.045
  7650	 0.972
  7651	-0.021
  7679	 0.346
  7719	 0.883
  7740	 1.119
  7751	 0.880
  7786	 1.608
  7818	-0.068
  7819	 0.401
  7825	 0.214
  7874	 0.459
  7879	 0.947
  7884	 1.347
  7886	 0.404
  7906	 1.015
  7916	 0.443
  7918	 0.618
  7921	 1.264
  7941	-0.010
  7943	-0.059
  7955	 1.044
  7963	-0.027
  7965	-0.049
  7978	 0.551
  7981	 0.836
  7999	 1.378
  8016	-0.022
  8020	 0.013
  8044	 1.020
  8046	-0.010
  8068	-0.098
  8086	 0.879
  8094	 1.537
