#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-05-28T14:15:52 [V7.5.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-05-28T14:15:52	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=I/311/hip2&-out=HIP,RArad,DErad,pmRA,pmDE,Hpmag&-out.max=15000&Hpmag=&lt;6.5&-out.form=tsv	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.5.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_1311
#Name: I/311
#Title: Hipparcos, the New Reduction (van Leeuwen, 2007)
#INFO	ivoid=ivo://cds.vizier/i/311	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/i/311	    IVOID of underlying data collection
#INFO	creator=van Leeuwen F.	    First author or institution
#INFO	cites=bibcode:2007A&A...474..653V	    Article or Data origin sources
#INFO	journal=A&A	    Journal name
#INFO	original_date=2007	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/I/311	    Dataset landing page
#INFO	publication_date=2017-12-22	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Coosys	J2000_1991.250:	eq_FK5 J2000
#Table	I_311_hip2:
#Name: I/311/hip2
#Title: The Astrometric Catalogue
#Column	HIP	(I6)	Hipparcos identifier	[ucd=meta.id;meta.main]
#Column	RArad	(F12.8)	Right Ascension in ICRS, Ep=1991.25	[ucd=pos.eq.ra;meta.main]
#Column	DErad	(F12.8)	Declination in ICRS, Ep=1991.25	[ucd=pos.eq.dec;meta.main]
#Column	pmRA	(F8.2)	Proper motion in Right Ascension	[ucd=pos.pm;pos.eq.ra]
#Column	pmDE	(F8.2)	Proper motion in Declination	[ucd=pos.pm;pos.eq.dec]
#Column	Hpmag	(F7.4)	Hipparcos magnitude	[ucd=phot.mag;em.opt.V]
HIP	RArad	DErad	pmRA	pmDE	Hpmag
 	deg	deg	mas/yr	mas/yr	mag
------	------------	------------	--------	--------	-------
    25	000.07936602	-44.29029730	   58.04	 -109.17	 6.4211
    43	000.12908906	+59.55973786	  -80.81	  -23.64	 6.3456
    63	000.18174967	+45.25333300	   17.45	   -0.01	 6.3484
    88	000.26915945	-48.80985914	  -18.36	   -5.82	 5.8690
   106	000.33016475	+49.98158502	   13.50	  -11.73	 6.3864
   107	000.33380178	-50.33739916	    7.88	   11.40	 5.6243
   122	000.39937881	-77.06529443	  -57.30	 -177.06	 4.9354
   124	000.40424529	+61.22280390	   -3.14	   -0.74	 5.6725
   137	000.43268934	+42.36714830	    5.52	   -1.98	 6.2437
   145	000.45598909	-03.02747915	   19.08	   -9.66	 5.0831
   154	000.48996493	-06.01397145	   48.39	  -40.94	 4.4120
   171	000.54018854	+27.08448917	  780.22	 -917.75	 5.8735
   183	000.58297533	-29.72044838	    9.34	   14.50	 4.9895
   186	000.60069765	+08.95683357	   -0.82	   -3.68	 6.3912
   194	000.62398923	+08.48557840	  -94.10	  -47.42	 5.7806
   207	000.65034381	+66.09896232	    5.83	   -2.30	 6.0384
   238	000.73927406	-20.04607413	  101.08	   78.03	 6.3687
   274	000.85715514	+63.64052497	   -2.36	   -1.36	 6.3325
   301	000.93488525	-17.33596994	   25.17	   -9.16	 4.5366
   302	000.96511472	+66.71220286	    9.36	   -8.31	 6.3544
   330	001.05693208	+62.28766468	   -1.32	    0.14	 5.9712
   343	001.08233960	-16.52888977	   47.64	  -61.36	 5.9562
   345	001.08457416	-29.26883034	   28.43	    4.03	 6.3909
   355	001.12550974	-10.50949437	   -6.85	  -12.02	 5.0996
   365	001.15248328	+42.09256177	  -11.35	  -12.64	 6.1627
   377	001.17188754	-71.43685826	   29.62	  -12.76	 5.5635
   379	001.17432274	+67.16638779	   95.93	   23.20	 5.8511
   394	001.22172860	+34.65955197	  769.18	   99.69	 6.2283
   399	001.23302973	+26.64879959	  111.95	  -13.59	 6.3941
   417	001.26581887	-00.50290549	   45.50	  -53.67	 6.4798
   418	001.27555237	+61.31396451	   14.29	    2.38	 5.7814
   443	001.33394067	-05.70783238	   -6.54	   87.85	 4.7803
   476	001.42473245	+13.39628233	   43.58	   -5.96	 5.7076
   518	001.56474412	+58.43668987	  247.24	   15.68	 6.1061
   522	001.57776313	-49.07509412	  575.29	  -39.19	 5.8163
   531	001.61052837	+64.19616866	   10.46	    0.10	 5.5684
   544	001.65221110	+29.02193534	  380.98	 -178.68	 6.2093
   560	001.70843592	-23.10742534	   97.81	  -47.12	 6.2750
   602	001.82613791	-17.38703091	   -7.51	   15.88	 6.2536
   635	001.93373154	-02.54868603	   29.33	    1.91	 6.3985
   636	001.94523211	-22.50847536	   69.43	  -34.97	 5.9806
   655	002.01465531	-33.52933373	  -43.55	    3.32	 5.8385
   664	002.05038305	-02.44769889	    7.15	   -4.84	 6.3245
   671	002.07313617	-08.82402530	  -35.42	  -35.85	 6.1569
   677	002.09653385	+29.09082837	  137.46	 -163.44	 2.0371
   696	002.13953211	-17.57804014	   14.58	  -47.76	 6.2010
   699	002.17092341	+36.62742812	 -114.52	 -125.06	 6.3175
   716	002.21695364	+25.46285160	  104.61	   54.70	 6.4099
   729	002.25974242	+18.21202521	  140.02	  -25.64	 5.7323
   730	002.25977760	-54.00196270	   46.89	   10.76	 6.4622
   746	002.29204030	+59.15021806	  523.50	 -179.77	 2.3579
   760	002.33262135	+79.71464134	  105.69	  -39.45	 6.0767
   761	002.33758603	-27.98790380	   70.11	   -8.97	 5.5100
   765	002.35224983	-45.74698832	  121.52	 -179.83	 4.0452
   798	002.46706472	-62.29683683	   16.92	   17.50	 6.3956
   813	002.50910232	+11.14580907	   30.90	    1.75	 5.5212
   814	002.50945407	-82.22399741	  -21.65	  -20.34	 5.4530
   840	002.57853859	-05.24851700	   36.79	  -29.21	 6.0071
   841	002.58017491	+46.07227154	    5.49	    0.28	 5.1174
   873	002.67810586	-12.57980377	  148.92	  -39.15	 6.0159
   910	002.81628367	-15.46732273	  -83.38	 -270.17	 5.0025
   930	002.89340455	-27.79977841	    3.42	   19.80	 5.5770
   950	002.93286720	-35.13339602	  169.83	  114.56	 5.3425
   967	002.99596728	+48.15237109	   60.71	   10.03	 6.3112
   983	003.04145454	-17.93821760	   55.37	  -24.95	 5.4056
  1067	003.30895847	+15.18361610	    1.98	   -9.28	 2.7544
  1074	003.33145157	-84.99402084	   10.82	   17.70	 5.8488
  1076	003.34972191	+26.98762539	  -18.40	  -32.50	 6.3777
  1086	003.37889717	+41.03572675	 -123.20	 -146.41	 5.7891
  1096	003.42591832	-26.02215420	   37.89	  -78.67	 6.0582
  1099	003.43491474	-26.28498313	   -3.34	   10.31	 6.2668
  1123	003.50952686	+33.20608457	   -9.13	  -19.29	 6.2305
  1158	003.61496759	-07.78053798	   62.62	    4.37	 5.1798
  1168	003.65045040	+20.20669713	   90.76	    1.24	 4.8756
  1170	003.66013616	-18.93268630	  -26.15	  -73.58	 4.5262
  1191	003.72708879	-09.56955074	   23.85	   -7.73	 5.7506
  1193	003.73279435	+22.28425204	   45.09	  -10.80	 6.2571
  1195	003.74253249	-34.90419370	   76.19	  -11.85	 6.3152
  1196	003.74492301	+08.82102239	   99.42	  -23.62	 6.1001
  1208	003.77886508	+31.53573777	   32.76	   -4.86	 6.4635
  1215	003.79397766	+27.28347712	   15.35	  -16.01	 6.3620
  1288	004.03660690	-31.44632826	  118.49	  -26.92	 5.8110
  1296	004.05785367	+76.95076267	   21.46	   -3.82	 6.3454
  1302	004.08958550	+43.59510616	   35.12	  -23.14	 6.1496
  1319	004.14190517	+08.24018997	  -27.92	  -13.87	 6.2800
  1331	004.17644797	-20.21005696	   -8.00	   -1.91	 6.4702
  1339	004.19031688	+10.24475765	    4.01	    9.48	 6.4955
  1354	004.23771175	+61.53319401	   -6.06	   -3.39	 5.8988
  1366	004.27306553	+38.68167907	  -49.35	  -17.65	 4.6349
  1372	004.28766759	+47.94741501	    3.80	   -3.75	 5.8390
  1415	004.42943981	+51.43309434	   -3.98	   -1.76	 6.0551
  1421	004.44852189	+01.68870500	   91.00	    9.39	 6.3456
  1465	004.57193830	+11.20628309	  -31.97	  -28.62	 6.2350
  1473	004.58210536	+36.78532727	  -65.67	  -42.00	 4.5377
  1493	004.65924055	+31.51723400	   57.77	   -2.74	 5.8849
  1501	004.67562505	+43.79114795	   22.85	   -3.12	 6.0790
  1502	004.67717477	-43.23557045	   49.54	   -0.53	 6.4922
  1562	004.85701294	-08.82382954	  -15.15	  -37.11	 3.7314
  1599	005.00797597	-64.87762321	 1707.42	 1164.30	 4.3442
  1630	005.10163330	+30.93561533	   14.13	   -1.05	 5.8586
  1645	005.14943426	+08.19024825	   -4.22	    9.73	 5.5386
  1647	005.16267804	-69.62491144	   -3.53	   -0.10	 5.4960
  1657	005.18974482	+32.91122838	  -29.84	  -17.66	 5.9028
  1686	005.28010795	+37.96869939	   58.93	  -38.56	 5.2579
  1706	005.36976184	-77.42685694	   12.84	   -7.30	 6.1045
  1708	005.37990199	-28.98129522	   32.76	  -72.01	 5.3382
  1728	005.44264472	-20.05799243	   61.91	  -12.81	 5.4390
  1772	005.60602185	+13.48243405	   63.70	   21.97	 6.4145
  1921	006.06518431	+52.01992475	   13.62	   -3.92	 5.5506
  1939	006.12362165	-02.21896144	  -32.64	  -41.86	 6.2416
  1960	006.19786932	+61.83106330	   13.90	   -3.21	 5.3941
  1982	006.27660738	+53.04678513	   25.92	    0.70	 5.7110
  2006	006.35090339	+01.93972365	  -13.64	  -12.63	 5.9256
  2021	006.41334187	-77.25503494	 2219.54	  324.09	 2.9305
  2072	006.55048403	-43.67990951	  106.20	   32.15	 3.9946
  2081	006.57028160	-42.30512119	  233.05	 -356.30	 2.5512
  2086	006.59057814	-18.69360338	   21.70	  -12.12	 6.3218
  2100	006.65572225	-00.04953619	   71.52	    2.06	 6.3578
  2159	006.81119658	-25.54713342	   32.18	  -16.13	 6.1516
  2210	006.98213616	-33.00704465	  -20.10	  -49.94	 4.9006
  2219	007.01185216	+17.89307506	  115.36	   19.88	 5.0291
  2224	007.05288648	+16.44510097	   17.53	  -13.84	 6.1704
  2225	007.05660462	+44.39448922	   85.12	  -14.90	 5.1998
  2235	007.08346729	+10.19034139	   33.04	 -203.30	 6.1492
  2240	007.11007296	-39.91490177	  137.17	  -40.50	 5.5259
  2256	007.17908743	-50.53284630	  159.52	   -4.72	 6.4333
  2270	007.23610500	+36.89970085	   -3.87	   -3.08	 6.4453
  2337	007.46586892	-14.86402646	  147.06	  -33.22	 6.2385
  2353	007.50980389	-03.95729680	    9.39	  -12.88	 5.8315
  2355	007.53056606	+29.75169540	   43.31	  -56.66	 5.2770
  2377	007.58297400	+59.97756392	   16.26	   -3.29	 5.9511
  2381	007.59446350	-23.78771444	  -26.03	   13.93	 5.2165
  2383	007.60822800	-48.21469832	  163.01	  -87.67	 5.7538
  2388	007.61594921	-40.93962525	   -2.94	   16.43	 6.2665
  2422	007.72581646	+77.01948789	  340.03	  -34.67	 6.3408
  2472	007.85356682	-48.80356174	  140.49	   19.25	 4.7736
  2474	007.85500776	+66.51962668	   18.72	   -4.16	 6.1534
  2475	007.85668761	+33.58168181	   48.33	  -16.55	 6.0428
  2484	007.88566983	-62.95808550	   83.64	  -54.82	 4.3328
  2487	007.88898332	-62.96545002	   93.97	  -46.32	 4.5529
  2497	007.92171239	+52.83955844	  -56.00	  -13.06	 5.7599
  2505	007.94299141	+54.52232512	   41.20	  -16.54	 4.7078
  2548	008.09897895	+06.95545464	   44.75	    2.33	 5.6980
  2568	008.14750357	+20.29443334	  136.01	  -48.55	 5.5464
  2578	008.18247604	-63.03137879	   86.66	  -50.33	 5.0920
  2583	008.20454050	+28.28022576	   -4.41	    5.80	 6.4270
  2599	008.24994382	+62.93178764	    3.65	   -2.07	 4.2103
  2611	008.29301468	+54.89508050	   70.14	  -39.52	 6.0930
  2628	008.33001503	+70.98184745	   35.58	   -2.11	 6.4190
  2629	008.34677270	-71.26621472	   73.40	  -13.42	 6.1872
  2661	008.42108793	-29.55820678	  -29.43	  -29.84	 5.7087
  2707	008.60369322	+66.75035215	   23.92	   -1.18	 6.4624
  2711	008.61506278	-52.37318304	  226.96	   37.86	 5.6755
  2762	008.81100423	-03.59275792	  408.34	  -35.22	 5.3209
  2787	008.88645728	-00.50545896	  143.75	  -62.85	 6.0422
  2789	008.88881603	-54.82174824	   22.80	  -50.85	 6.2062
  2802	008.92139522	-48.00066056	   46.82	 -101.73	 5.6144
  2832	008.97867168	+13.20750232	 -132.29	 -178.33	 6.4348
  2852	009.02876075	-22.84221066	  -71.84	  -51.37	 6.1390
  2854	009.03453122	+54.16845377	   22.56	   -2.23	 5.0536
  2865	009.08370066	+27.25479141	   15.96	  -11.11	 6.4899
  2876	009.11392499	+60.32621718	    2.81	   -0.92	 5.8676
  2900	009.19362940	+44.48850967	  -36.31	   31.96	 5.2561
  2903	009.19713210	+15.23175966	    0.85	  -13.68	 5.8347
  2912	009.22016213	+33.71935253	   14.75	   -3.51	 4.3098
  2920	009.24277909	+53.89693155	   17.38	   -9.86	 3.6112
  2926	009.28000604	+24.01424834	  -17.72	  -46.72	 6.3527
  2941	009.33244949	-24.76722636	 1450.34	  -19.38	 5.7134
  2942	009.33844201	+35.39951042	   -9.25	   -3.73	 5.5949
  3031	009.63958050	+29.31236894	 -229.04	 -253.11	 4.4994
  3083	009.79119578	+49.35459519	    8.57	   -2.41	 5.5640
  3092	009.83165586	+30.86122597	  114.45	  -84.02	 3.4328
  3093	009.84206096	+21.25137382	 -461.32	 -370.02	 6.0300
  3137	009.96631195	-44.79633329	   42.51	   17.52	 6.1735
  3138	009.98147480	+21.43856443	   28.64	  -28.29	 5.5468
  3170	010.10273302	-59.45568119	  883.19	  443.32	 6.0187
  3179	010.12661350	+56.53740925	   50.88	  -32.13	 2.4107
  3185	010.13501595	-23.80399322	  635.18	 -363.56	 6.2788
  3193	010.17658831	-04.35180548	  -14.64	  -14.83	 6.0652
  3231	010.27998083	+39.45867139	  -15.30	   -2.48	 5.4579
  3245	010.33156671	-46.08500948	  -28.20	    1.80	 4.7591
  3269	010.39989690	+24.62906485	  104.84	  -22.78	 6.1388
  3277	010.44292462	-56.50145473	   90.79	   57.19	 5.7683
  3299	010.51431595	+66.14761300	  -11.32	   -8.75	 5.9967
  3300	010.51618413	+50.51254141	   12.24	   -6.58	 4.7665
  3330	010.61790459	-65.46813007	   53.07	   40.94	 5.4940
  3334	010.62920576	+58.75343109	   29.54	   -7.82	 6.1864
  3352	010.67349878	-60.26268187	  263.42	  -51.42	 6.1494
  3356	010.67870832	-38.46346744	    2.56	   -6.72	 6.0529
  3405	010.83851629	-57.46309771	   -5.07	   16.51	 4.3700
  3414	010.86704476	+47.02463659	  -23.71	  -36.84	 5.0087
  3419	010.89678447	-17.98668407	  232.55	   31.99	 2.2061
  3436	010.95870200	-12.01130748	   -2.65	 -208.17	 6.1805
  3455	011.04752268	-10.60927381	   -8.96	 -113.82	 4.9349
  3456	011.04964722	-38.42197917	  246.29	  120.53	 6.0722
  3478	011.10927619	+47.86396289	  -39.26	    8.75	 5.6246
  3489	011.13134774	-62.49760585	  104.00	    6.57	 6.1660
  3504	011.18125896	+48.28438233	   18.84	   -7.18	 4.4631
  3505	011.18515532	-22.00633244	  -66.33	   80.97	 5.3047
  3521	011.23801503	-42.67632502	  -88.65	  -96.51	 6.0117
  3527	011.24883541	-53.71490029	  223.96	    1.86	 6.2656
  3544	011.32168135	+55.22140860	  -29.07	   -4.91	 5.4258
  3552	011.35043382	-04.62925145	   35.60	   37.00	 6.2440
  3559	011.36961329	-12.88030971	  -32.32	 -205.65	 6.2783
  3572	011.41296320	+74.98812638	  -15.07	  -22.17	 5.6770
  3583	011.43930826	-47.55217594	  183.99	   78.81	 5.9251
  3604	011.54499508	+44.86150817	   17.74	   -3.12	 6.0177
  3607	011.54845525	-22.52206723	  197.91	  -12.73	 5.6612
  3632	011.63740007	+15.47561225	  -29.55	  -44.22	 5.3800
  3641	011.65929249	+69.32537139	  167.11	   15.53	 6.4903
  3675	011.75594363	+11.97393476	   53.70	  -35.38	 5.6735
  3685	011.80650083	+19.57868596	  107.58	    7.47	 6.1824
  3693	011.83495919	+24.26737676	 -101.17	  -81.77	 4.2487
  3697	011.84843050	+06.74098085	   12.53	   -9.65	 6.1423
  3717	011.93000742	-18.06142241	   31.37	   34.50	 5.8552
  3721	011.94174807	+74.84758750	   15.31	   -6.66	 5.4062
  3741	012.00437915	-21.72247474	   21.80	   -9.35	 5.5593
  3750	012.03698195	+72.67445760	  133.36	    9.19	 6.0254
  3760	012.07226888	+07.29991980	  110.96	    4.52	 6.0874
  3765	012.09388796	+05.28338880	  757.11	-1141.33	 5.8775
  3781	012.14632698	-74.92335367	  132.89	  -34.29	 5.2343
  3786	012.17039763	+07.58520178	   83.10	  -49.58	 4.5555
  3801	012.20830552	+50.96819151	   30.84	  -10.02	 4.8742
  3807	012.23640327	-46.69769836	  -11.00	   20.46	 6.4372
  3810	012.24462417	+16.94113366	   -2.87	 -202.05	 5.1781
  3821	012.27125307	+57.81654753	 1086.59	 -559.43	 3.5835
  3834	012.30791007	-24.13652672	   78.54	  -60.14	 6.0644
